TIME,DMEA,TVT,TVCA,TV01,TV02,TV03,TV04,TV05,TV06
2016-11-11T002001.000Z,420.1923,49.6399,-1.840771,49.6399,57.26723,53.23685,49.50735,21.72055,0.0
2016-11-11T002002.000Z,420.1923,49.6399,-1.854286,49.6399,57.26723,53.34843,49.50735,22.0947,0.0
2016-11-11T002003.000Z,420.1923,49.6399,-1.831047,49.6399,57.40152,53.49421,49.6436,22.32686,0.0
2016-11-11T002004.000Z,420.1923,49.6399,-1.831047,49.6399,57.40152,53.49421,49.6436,21.51425,0.0
2016-11-11T002005.000Z,420.1923,49.6399,-1.843616,49.6399,57.40152,53.49421,49.6436,20.63909,0.0
2016-11-11T002006.000Z,420.1923,49.6399,-1.843616,49.6399,57.40152,53.49421,49.6436,19.73266,0.0
2016-11-11T002007.000Z,420.1923,49.6399,-1.843616,49.6399,57.40152,53.49421,49.6436,19.22535,0.0
2016-11-11T002008.000Z,420.1923,49.6399,-1.812279,49.6399,57.40152,53.34482,49.52761,19.3594,0.0
2016-11-11T002009.000Z,420.1923,49.6399,-1.800041,49.6399,57.40152,53.34482,49.52761,20.44527,0.0
2016-11-11T002100.000Z,420.1923,49.6399,-1.800041,49.6399,57.40152,53.55621,49.52761,21.18657,0.0
2016-11-11T002101.000Z,420.1923,49.6399,-1.800041,49.6399,57.40152,52.6481,49.52761,21.95394,0.0
2016-11-11T002102.000Z,420.1923,49.6399,-1.815865,49.6399,57.40152,53.21405,49.52761,21.95394,0.0
2016-11-11T002103.000Z,420.1923,49.6399,-1.815865,49.6399,57.40152,53.21405,49.52761,21.95394,0.0
2016-11-11T002104.000Z,420.1923,49.6399,-1.831837,49.6399,57.40152,53.52702,49.63274,22.14828,0.0
2016-11-11T002105.000Z,420.1923,49.6399,-1.81982,49.6399,57.40152,53.70351,49.63274,22.42929,0.0
2016-11-11T002106.000Z,420.1923,49.6399,-1.810806,49.6399,57.40152,53.70351,49.79819,22.60235,0.0
