DMEA,TIME,WOBA,HKLA,SPPA,TQA,RPMA
420.0022, 2016-11-11T003307.000Z, 10.81627, 39.58689, 88.53197, 0.0, 0
421.0014, 2016-11-11T023209.000Z, 6.701908, 43.70508, 74.75253, 0.0, 0
422.0133, 2016-11-11T020508.000Z, 11.18384, 39.22336, 86.84405, 0.0, 0
423.0226, 2016-11-11T021301.000Z, 8.429363, 41.9935, 87.23794, 0.0, 0
424.0048, 2016-11-11T022407.000Z, 11.35851, 39.04776, 87.43624, 0.0, 0
425.0652, 2016-11-11T023302.000Z, 9.214858, 41.19933, 87.37215, 0.0, 0
426.0014, 2016-11-11T024000.000Z, 4.366852, 46.01966, 87.54111, 0.0, 0
427.1293, 2016-11-11T024201.000Z, 4.826633, 45.57529, 87.75743, 0.0, 0
428.0562, 2016-11-11T024404.000Z, 6.484373, 43.91803, 88.10382, 0.0, 0
429.0058, 2016-11-11T025507.000Z, 10.29266, 40.11844, 88.38557, 0.0, 0
430.0063, 2016-11-11T032207.000Z, 12.28366, 38.11724, 88.75448, 0.0, 0
431.0097, 2016-11-11T030504.000Z, 12.62907, 37.77231, 88.84999, 0.0, 0
432.0095, 2016-11-11T033400.000Z, 10.58689, 39.8194, 88.72186, 0.0, 0
433.0013, 2016-11-11T040307.000Z, 8.34371, 42.0666, 88.70008, 0.0, 0
434.0013, 2016-11-11T042409.000Z, 11.14811, 39.25949, 94.94517, 0.0, 0
435.0073, 2016-11-11T080507.000Z, 11.90504, 38.49629, 97.37948, 0.0, 0
436.0033, 2016-11-11T083105.000Z, 11.96573, 38.4372, 97.36327, 0.0, 0
